familyname,foundryname,defaultlanguages,opensource,thirtydaypings,
P22 Franklin Caslon,P22,en,f,835468,
Ryo Display PlusN,Adobe,ja,f,834534,
FF Basic Gothic,FontFont,en,f,832297,
Modesto,Parkinson Type Design,en,f,829926,
Tablet Gothic,TypeTogether,en,f,828577,
Kandal,Mark Simonson Studio,en,f,827307,
Paralucent,Device Fonts,en,f,825965,
Kepler,Adobe,en,f,825007,
Niveau Grotesk,HVD Fonts,en,f,823853,
Boston Traffic,Vic Fieger,en,f,822033,
Kandal,Mark Simonson Studio,en,f,821776,
Capitolina,Typefolio,en,f,820981,
Depot New,Moretype,en,f,820117,
Share OSF,Carrois Type Design,en,f,819676,
Hydrophilia,Floodfonts,en,f,818971,
Penna,DSType,en,f,816824,
Bell Centennial Std,Adobe,en,f,815194,
Chennai,Insigne Design,en,f,814563,
Proxima Nova,Mark Simonson Studio,en,f,813444,
Aviano Flare,Insigne Design,en,f,812430,
Costa,Typofonderie,en,f,811905,
Minion,Adobe,en,f,808902,
Parisine Plus,Typofonderie,en,f,802800,
Corporate A,URW++,en,f,802753,
Parisine Plus,Typofonderie,en,f,801903,
Serenity,Device Fonts,en,f,801004,
Alwyn New,Moretype,en,f,800854,
Industry,Fort Foundry,en,f,800490,
Mic 32 New,Moretype,en,f,798790,
Chaparral,Adobe,en,f,798597,
Quatro Slab,ps Type,en,f,797538,
Tekton,Adobe,en,f,794562,
Parisine Plus,Typofonderie,en,f,792768,
Kelvingrove,Typodermic,en,f,792398,
Parisine Plus,Typofonderie,en,f,792094,
Mostra Nuova,Mark Simonson Studio,en,f,790936,
Sovba,Insigne Design,en,f,789974,
FF Nuvo,FontFont,en,f,788771,
Octin,Typodermic,en,f,784948,
Clavo,Dada Studio,en,f,784427,
Sovba,Insigne Design,en,f,783774,
Tekton,Adobe,en,f,783718,
Minion,Adobe,en,f,781686,
Petala,Typefolio,en,f,780799,
Mostra Nuova,Mark Simonson Studio,en,f,780446,
Chaparral,Adobe,en,f,777849,
Tablet Gothic,TypeTogether,en,f,777393,
JAF Mashine,Just Another Foundry,en,f,774877,
Octin,Typodermic,en,f,773815,
FF Speak,FontFont,en,f,771955,
Eurostile,URW++,en,f,770863,
FF Ginger,FontFont,en,f,767687,
FF Kava,FontFont,en,f,766442,
Alber New,Moretype,en,f,766236,
Chaparral,Adobe,en,f,766223,
FF Duper,FontFont,en,f,761203,
Kegger,Chank Co,en,f,759574,
Kandal,Mark Simonson Studio,en,f,758059,
Arno,Adobe,en,f,757155,
Adelle,TypeTogether,en,f,756735,
Parisine,Typofonderie,en,f,755749,
Lexia,Dalton Maag,en,f,753467,
Galette,Paragraph,en,f,752697,
HVD Comic Serif,HVD Fonts,en,f,751870,
Montag,Insigne Design,en,f,748845,
Sneakers Script,Positype,en,f,747584,
Adrianna,Chank Co,en,f,746244,
JAF Bernini,Just Another Foundry,en,f,745099,
Emily Austin,Three Islands Press,en,f,744734,
Proxima Nova,Mark Simonson Studio,en,f,741723,
Allumi,Typofonderie,en,f,737870,
Paralucent,Device Fonts,en,f,735824,
Alwyn New,Moretype,en,f,733161,
DDT,Typodermic,en,f,732721,
Expressway,Typodermic,en,f,729718,
FF Kava,FontFont,en,f,729565,
Mesquite,Adobe,en,f,729415,
Kandal,Mark Simonson Studio,en,f,727756,
Minion,Adobe,en,f,727618,
Deva Ideal,DizajnDesign,en,f,727518,
Angie Sans,Typofonderie,en,f,727033,
Proxima Nova,Mark Simonson Studio,en,f,726866,
Le Havre,Insigne Design,en,f,726040,
Ratio,ps Type,en,f,723148,
Sovba,Insigne Design,en,f,722876,
Ebony,TypeTogether,en,f,722660,
Pill Gothic,Betatype,en,f,722619,
Ratio,ps Type,en,f,719350,
Minion,Adobe,en,f,718099,
Industry,Fort Foundry,en,f,714604,
Tablet Gothic,TypeTogether,en,f,711740,
Sharik Sans,Dada Studio,en,f,708301,
Eurostile,URW++,en,f,706422,
DDT,Typodermic,en,f,705825,
Elina,ParaType,en,f,703420,
Blambot,Blambot,en,f,701611,
Tablet Gothic,TypeTogether,en,f,701366,
Angie Sans,Typofonderie,en,f,699972,
Blambot Casual,Blambot,en,f,698533,
Montag,Insigne Design,en,f,694188,
Faricy New,Moretype,en,f,691465,
Garamond Premier,Adobe,en,f,691119,
Warnock,Adobe,en,f,688924,
FF Speak,FontFont,en,f,688090,
Kinesis,Adobe,en,f,687150,
Teimer,Suitcase Type Foundry,en,f,685948,
Colaborate,Carrois Type Design,en,f,685179,
Skolar,Rosetta Type Foundry,en,f,684465,
Petala,Typefolio,en,f,683299,
Madawaska,Typodermic,en,f,679721,
Arno,Adobe,en,f,679088,
Sovba,Insigne Design,en,f,678824,
Proxima Nova,Mark Simonson Studio,en,f,676811,
Aviano Flare,Insigne Design,en,f,674242,
Edita,TypeTogether,en,f,672793,
Capitolina,Typefolio,en,f,672542,
Latienne,TypeCulture,en,f,672533,
Larabiefont,Typodermic,en,f,672100,
Edita,TypeTogether,en,f,670679,
Montag,Insigne Design,en,f,670484,
Teimer,Suitcase Type Foundry,en,f,669000,
DDT,Typodermic,en,f,668034,
FF Karbid Slab,FontFont,en,f,666588,
Montag,Insigne Design,en,f,665211,
FF Brokenscript,FontFont,en,f,664865,
JAF Lapture,Just Another Foundry,en,f,662606,
Comenia Sans,Suitcase Type Foundry,en,f,661592,
Costa,Typofonderie,en,f,661428,
Minion,Adobe,en,f,661020,
Garvis,JTD,en,f,660488,
Freight Sans,Phil's Fonts,en,f,659500,
Clavo,Dada Studio,en,f,657824,
Aviano Flare,Insigne Design,en,f,657660,
Comenia Sans,Suitcase Type Foundry,en,f,657146,
Alwyn New,Moretype,en,f,656030,
Le Havre,Insigne Design,en,f,655540,
Sharik Sans,Dada Studio,en,f,655168,
FF Prater,FontFont,en,f,654443,
Hotel,Parkinson Type Design,en,f,653460,
Hydrophilia,Floodfonts,en,f,651801,
Benton Sans,Font Bureau,en,f,650468,
Pollen,TypeTogether,en,f,648896,
DDT,Typodermic,en,f,648504,
Chennai,Insigne Design,en,f,647336,
Chennai,Insigne Design,en,f,644576,
Tenby,Paragraph,en,f,642900,
Tenby,Paragraph,en,f,642776,
Trajan Sans,Adobe,en,f,640938,
Corporate A,URW++,en,f,639267,
Freight Sans,Phil's Fonts,en,f,638274,
Chinese Rocks,Typodermic,en,f,638079,
Abril Titling,TypeTogether,en,f,638027,
Chaparral,Adobe,en,f,636758,
Ratio,ps Type,en,f,632345,
Comenia Sans,Suitcase Type Foundry,en,f,631693,
Galette,Paragraph,en,f,630447,
Vista Slab,Emigre,en,f,629473,
Supria Sans,HVD Fonts,en,f,628518,
Handel Gothic,URW++,en,f,627676,
Abolition,Fort Foundry,en,f,627026,
Lexia,Dalton Maag,en,f,626337,
Luxi Sans,Bigelow & Holmes,en,f,625835,
Supria Sans,HVD Fonts,en,f,625361,
Presicav,Typodermic,en,f,624795,
Freight Sans,Phil's Fonts,en,f,624698,
Sirba,TypeTogether,en,f,624180,
Freight,Phil's Fonts,en,f,623981,
Snicker,Mark Simonson Studio,en,f,623931,
Luxi Sans,Bigelow & Holmes,en,f,623771,
Kinesis,Adobe,en,f,623750,
FP Dancer,Fontpartners,en,f,623501,
Pragmatica,ParaType,en,f,622767,
Comenia Sans,Suitcase Type Foundry,en,f,622564,
Obliqua Sans,C̩sar Puertas,en,f,622449,
Gnuolane,Typodermic,en,f,621785,
Lipa Agate,TypeTogether,en,f,619716,
Neuzon,Typodermic,en,f,619585,
Aurea Ultra,T-26,en,f,617530,
Phoreus Cherokee,TypeCulture,en,f,614810,
Phoreus Cherokee,TypeCulture,en,f,612184,
Tablet Gothic,TypeTogether,en,f,611105,
Wigwag,Parkinson Type Design,en,f,610316,
Prociono,The League of Moveable Type,en,f,610258,
Chaparral,Adobe,en,f,608668,
FF Ernestine,FontFont,en,f,608082,
Luxi Sans,Bigelow & Holmes,en,f,607825,
FF Zwo Correspondence,FontFont,en,f,606894,
Obliqua Sans,C̩sar Puertas,en,f,606813,
Freight Sans,Phil's Fonts,en,f,605572,
Octin,Typodermic,en,f,604687,
Larabiefont,Typodermic,en,f,604319,
Costa,Typofonderie,en,f,603007,
Deva Ideal,DizajnDesign,en,f,602286,
T.26 Carbon,T-26,en,f,601396,
Minion,Adobe,en,f,599889,
Teeshirt,Typodermic,en,f,599205,
Tenso,exljbris Font Foundry,en,f,598737,
Prenton,BluHead Studio,en,f,594620,
Sirba,TypeTogether,en,f,592560,
Depot New,Moretype,en,f,592173,
Arno,Adobe,en,f,591818,
Adrianna,Chank Co,en,f,591465,
Sirba,TypeTogether,en,f,591038,
FF Speak,FontFont,en,f,590467,
FF Speak,FontFont,en,f,588012,
Dapifer,Darden Studio,en,f,587125,
Faricy New,Moretype,en,f,584008,
Sanvito,Adobe,en,f,582557,
Expressway,Typodermic,en,f,580154,
Swister,Chank Co,en,f,580082,
Cora,TypeTogether,en,f,579387,
Kepler,Adobe,en,f,578531,
Minion,Adobe,en,f,578353,
Chaparral,Adobe,en,f,576780,
Depot New,Moretype,en,f,575282,
Sharik Sans,Dada Studio,en,f,575131,
Blambot,Blambot,en,f,575073,
Kepler,Adobe,en,f,574855,
Freight Sans,Phil's Fonts,en,f,574557,
Chantal,Device Fonts,en,f,574354,
Magistral,ParaType,en,f,573919,
Archetype,T-26,en,f,573151,
Chemist,Cathy Davies,en,f,572010,
Silkscreen,Jason Kottke,en,f,571744,
Ronnia,TypeTogether,en,f,571474,
Eskapade,TypeTogether,en,f,571450,
Alber New,Moretype,en,f,571165,
Mentone,Paragraph,en,f,570192,
Neuropol,Typodermic,en,f,570155,
Chantal,Device Fonts,en,f,568057,
Aviano Flare,Insigne Design,en,f,567807,
Aviano Flare,Insigne Design,en,f,567407,
Sommet Slab,Insigne Design,en,f,567165,
Le Havre,Insigne Design,en,f,567064,
Chaparral,Adobe,en,f,566767,
Le Havre,Insigne Design,en,f,566231,
Depot New,Moretype,en,f,565952,
Arno,Adobe,en,f,565797,
Arno,Adobe,en,f,565590,
Aviano Flare,Insigne Design,en,f,565453,
Mentone,Paragraph,en,f,564365,
Galette,Paragraph,en,f,561466,
Colaborate,Carrois Type Design,en,f,561214,
LTC Globe Gothic,Lanston Type,en,f,559915,
Sommet,Insigne Design,en,f,558680,
Cronos,Adobe,en,f,558655,
Proxima Nova,Mark Simonson Studio,en,f,557422,
Galette,Paragraph,en,f,553793,
Aviano Slab,Insigne Design,en,f,553481,
Freight Neo,Phil's Fonts,en,f,549213,
Proxima Nova,Mark Simonson Studio,en,f,540874,
Arno,Adobe,en,f,540153,
Bookmania,Mark Simonson Studio,en,f,537893,
FF Brokenscript,FontFont,en,f,537298,
Vista Slab,Emigre,en,f,536883,
Minion,Adobe,en,f,534704,
Proxima Nova,Mark Simonson Studio,en,f,533664,
Changeling Neo,Mark Simonson Studio,en,f,529196,
Chaparral,Adobe,en,f,528820,
Tablet Gothic,TypeTogether,en,f,528628,
Diavlo,exljbris Font Foundry,en,f,524757,
FF Tisa,FontFont,en,f,524259,
Pollen,TypeTogether,en,f,523386,
Prenton,BluHead Studio,en,f,523351,
Alwyn New,Moretype,en,f,523193,
Aviano Slab,Insigne Design,en,f,517762,
FF Kava,FontFont,en,f,517188,
Arno,Adobe,en,f,517107,
King's Caslon,Dalton Maag,en,f,516788,
Sharktooth,Mark Simonson Studio,en,f,514554,
Arno,Adobe,en,f,514477,
Heisei Kaku Gothic Std,Adobe,ja,f,514269,
Sharktooth,Mark Simonson Studio,en,f,513286,
Serifa,URW++,en,f,512133,
Adrianna,Chank Co,en,f,511779,
Le Havre,Insigne Design,en,f,511753,
Adelle,TypeTogether,en,f,510326,
Madawaska,Typodermic,en,f,509406,
Classico URW,URW++,en,f,507058,
Minion,Adobe,en,f,506379,
Modesto,Parkinson Type Design,en,f,506020,
Essay Text,TypeTogether,en,f,505876,
Sirba,TypeTogether,en,f,504346,
Madawaska,Typodermic,en,f,503943,
Adelle,TypeTogether,en,f,501366,
Alber New,Moretype,en,f,500994,
Adorn Smooth,Laura Worthington Type,en,f,498787,
Costa,Typofonderie,en,f,498773,
FF Dax,FontFont,en,f,498676,
Stevie Sans,Typefolio,en,f,498361,
Clavo,Dada Studio,en,f,498301,
Mentone,Paragraph,en,f,497265,
Cronos,Adobe,en,f,493374,
Junction,The League of Moveable Type,en,f,492489,
T.26 Carbon,T-26,en,f,488919,
Allumi,Typofonderie,en,f,488395,
Anivers,exljbris Font Foundry,en,f,485534,
Serenity,Device Fonts,en,f,484533,
LFT Etica,TypeTogether,en,f,482803,
Le Monde Journal,Typofonderie,en,f,482279,
Adrianna,Chank Co,en,f,480723,
Arno,Adobe,en,f,478232,
LFT Etica,TypeTogether,en,f,477609,
Aurea Ultra,T-26,en,f,476562,
Tablet Gothic,TypeTogether,en,f,476089,
Swister,Chank Co,en,f,475364,
Sharktooth,Mark Simonson Studio,en,f,475106,
Sommet Slab,Insigne Design,en,f,474516,
Cordale,Dalton Maag,en,f,470947,
Classico URW,URW++,en,f,470807,
saxMono,s.a.x. Software,en,f,469982,
Deva Ideal,DizajnDesign,en,f,469860,
Le Monde Journal,Typofonderie,en,f,469845,
Ambroise,Typofonderie,en,f,469309,
Dapifer,Darden Studio,en,f,468156,
JAF Bernini,Just Another Foundry,en,f,467005,
Acier BAT,BAT Foundry,en,f,463709,
Minion,Adobe,en,f,462559,
FF Avance,FontFont,en,f,462456,
FF Kava,FontFont,en,f,461977,
DDT,Typodermic,en,f,461504,
Lint McCree,Blambot,en,f,460979,
Alpha Echo,Vic Fieger,en,f,460009,
Capitolina,Typefolio,en,f,459313,
Proxima Nova,Mark Simonson Studio,en,f,457222,
Magneta,Positype,en,f,457017,
Lithos,Adobe,en,f,453337,
Proxima Nova,Mark Simonson Studio,en,f,450374,
Minion,Adobe,en,f,449773,
Expo Sans,TypeCulture,en,f,448051,
Museo Sans,exljbris Font Foundry,en,f,447080,
Arno,Adobe,en,f,446703,
Adrianna,Chank Co,en,f,446156,
LFT Etica,TypeTogether,en,f,445709,
Chaparral,Adobe,en,f,443603,
Blakely,Mark Simonson Studio,en,f,443284,
T.26 Carbon,T-26,en,f,440689,
T.26 Carbon,T-26,en,f,440510,
BonvenoCF,Barry Schwartz,en,f,439971,
Blambot FX,Blambot,en,f,439371,
FF Zwo Correspondence,FontFont,en,f,437783,
Corporate S,URW++,en,f,437438,
DDT,Typodermic,en,f,436172,
Sovba,Insigne Design,en,f,435345,
LFT Etica,TypeTogether,en,f,434959,
Diavlo,exljbris Font Foundry,en,f,434785,
Sovba,Insigne Design,en,f,434578,
Kari,Positype,en,f,432471,
Al Fresco,Laura Worthington Type,en,f,432056,
Macho,Dada Studio,en,f,431524,
Modesto,Parkinson Type Design,en,f,431237,
Arno,Adobe,en,f,429997,
FF Nuvo,FontFont,en,f,429390,
Balboa,Parkinson Type Design,en,f,428500,
Alwyn New,Moretype,en,f,427716,
Modesto,Parkinson Type Design,en,f,427479,
Tablet Gothic,TypeTogether,en,f,426721,
Helsinki,Vic Fieger,en,f,426425,
Bernhard Gothic URW,URW++,en,f,424970,
Le Havre,Insigne Design,en,f,424367,
Adelle,TypeTogether,en,f,423966,
Pill Gothic,Betatype,en,f,423719,
Ryo Text PlusN,Adobe,ja,f,423701,
Arno,Adobe,en,f,421730,
Magistral,ParaType,en,f,420694,
Classico URW,URW++,en,f,420411,
Givry,TypeTogether,en,f,419976,
Sommet Slab,Insigne Design,en,f,419935,
Minion,Adobe,en,f,418889,
FF Avance,FontFont,en,f,418024,
Minion,Adobe,en,f,417511,
Adrianna,Chank Co,en,f,415481,
Kepler,Adobe,en,f,415292,
Blambot Casual,Blambot,en,f,414640,
Depot New,Moretype,en,f,414532,
Abril Titling,TypeTogether,en,f,411385,
Classico URW,URW++,en,f,410202,
Kepler,Adobe,en,f,409817,
Diavlo,exljbris Font Foundry,en,f,409229,
Ambroise,Typofonderie,en,f,408095,
Cordale,Dalton Maag,en,f,407873,
Oscine,Dalton Maag,en,f,407637,
Chandler 42,Steve Mehallo,en,f,407486,
Capitolina,Typefolio,en,f,406484,
Goudy Old Style,URW++,en,f,406327,
Sneakers,Positype,en,f,405770,
Chandler 42,Steve Mehallo,en,f,405516,
FF Duper,FontFont,en,f,404525,
Magneta,Positype,en,f,403017,
Benton Sans,Font Bureau,en,f,402812,
Arno,Adobe,en,f,402531,
Magistral,ParaType,en,f,402127,
Adelle,TypeTogether,en,f,400785,
Adelle,TypeTogether,en,f,400545,
Adelle,TypeTogether,en,f,399829,
Factoria,Fort Foundry,en,f,398163,
Cronos,Adobe,en,f,397911,
Museo Sans,exljbris Font Foundry,en,f,397508,
FF Duper,FontFont,en,f,395420,
Magistral,ParaType,en,f,394651,
Adrianna,Chank Co,en,f,394547,
Expo Sans,TypeCulture,en,f,394234,
FF Meta,FontFont,en,f,393919,
Bee,URW++,en,f,392268,
Good Times,Larabie Fonts,en,f,390319,
Sovba,Insigne Design,en,f,388887,
Sovba,Insigne Design,en,f,388367,
Minion,Adobe,en,f,387588,
Le Havre,Insigne Design,en,f,387436,
Tablet Gothic,TypeTogether,en,f,386142,
Sovba,Insigne Design,en,f,385643,
Cordale,Dalton Maag,en,f,385538,
Magneta,Positype,en,f,384777,
DDT,Typodermic,en,f,384306,
Blambot Casual,Blambot,en,f,383784,
Le Havre,Insigne Design,en,f,383726,
Ronnia,TypeTogether,en,f,383650,
Plume,Dalton Maag,en,f,382363,
Sovba,Insigne Design,en,f,382112,
Sommet Slab,Insigne Design,en,f,381816,
Sovba,Insigne Design,en,f,379442,
Lint McCree,Blambot,en,f,378185,
English Grotesque,Device Fonts,en,f,376681,
DDT,Typodermic,en,f,376257,
Magneta,Positype,en,f,376072,
Sovba,Insigne Design,en,f,375290,
FF Meta,FontFont,en,f,374895,
FP Dancer,Fontpartners,en,f,374292,
Cordale,Dalton Maag,en,f,374204,
Tekton,Adobe,en,f,373399,
Kepler,Adobe,en,f,370085,
Benton Sans,Font Bureau,en,f,368024,
Cronos,Adobe,en,f,367139,
Le Monde Journal,Typofonderie,en,f,366827,
Minion,Adobe,en,f,365400,
Kepler,Adobe,en,f,364625,
Ronnia,TypeTogether,en,f,364468,
Benton Sans,Font Bureau,en,f,363749,
Acuta,Anatoletype,en,f,361789,
Le Monde Sans,Typofonderie,en,f,361643,
Freight Neo,Phil's Fonts,en,f,360298,
Roboto,Google,en,f,360199,
JAF Lapture,Just Another Foundry,en,f,359321,
JAF Mashine,Just Another Foundry,en,f,358187,
Presicav,Typodermic,en,f,357870,
Le Monde Sans,Typofonderie,en,f,355471,
FF Nuvo,FontFont,en,f,351542,
Ambroise,Typofonderie,en,f,346841,
Bee,URW++,en,f,345469,
Le Havre,Insigne Design,en,f,343708,
Freight Neo,Phil's Fonts,en,f,343361,
Fanwood,The League of Moveable Type,en,f,342136,
Factoria,Fort Foundry,en,f,341737,
Adrianna,Chank Co,en,f,341533,
Le Havre,Insigne Design,en,f,341125,
Tablet Gothic,TypeTogether,en,f,340924,
JAF Lapture,Just Another Foundry,en,f,339630,
JAF Lapture,Just Another Foundry,en,f,339177,
JAF Lapture,Just Another Foundry,en,f,337761,
Coolvetica,Larabie Fonts,en,f,337330,
Minion,Adobe,en,f,336841,
Gnuolane,Typodermic,en,f,336819,
Sutro,Parkinson Type Design,en,f,336802,
Sutro,Parkinson Type Design,en,f,333759,
LFT Etica,TypeTogether,en,f,333416,
Sommet,Insigne Design,en,f,332557,
Depot New,Moretype,en,f,332200,
Kepler,Adobe,en,f,331991,
Divulge,Typodermic,en,f,331544,
Freight Sans,Phil's Fonts,en,f,330944,
Blambot FX,Blambot,en,f,330367,
Minion,Adobe,en,f,329649,
Good Times,Larabie Fonts,en,f,329345,
Sommet,Insigne Design,en,f,329303,
Acuta,Anatoletype,en,f,327241,
Allumi,Typofonderie,en,f,326272,
Pirulen,Typodermic,en,f,325167,
Plume,Dalton Maag,en,f,325078,
CarbonType,Vic Fieger,en,f,324583,
Adobe Jenson,Adobe,en,f,323605,
Mic 32 New,Moretype,en,f,322997,
Mentone,Paragraph,en,f,322782,
Terfens,Insigne Design,en,f,322254,
Sutro,Parkinson Type Design,en,f,321847,
Balboa Plus,Parkinson Type Design,en,f,321597,
Urbana,C̩sar Puertas,en,f,321408,
Good Times,Larabie Fonts,en,f,321072,
Acuta,Anatoletype,en,f,321027,
Crete,TypeTogether,en,f,320853,
Divulge,Typodermic,en,f,320435,
Sweater School,Typodermic,en,f,319639,
Sweater School,Typodermic,en,f,319594,
Iskra,TypeTogether,en,f,319432,
FF Meta,FontFont,en,f,318918,
Adrianna,Chank Co,en,f,318674,
Depot New,Moretype,en,f,318613,
Chaloops,Chank Co,en,f,318070,
Gunplay,Larabie Fonts,en,f,317850,
Adobe Jenson,Adobe,en,f,315982,
Ministry,Device Fonts,en,f,314806,
Co,Dalton Maag,en,f,313715,
Minerva Modern,T-26,en,f,313024,
Good Times,Larabie Fonts,en,f,312652,
JAF Lapture,Just Another Foundry,en,f,312552,
Botanika,Suitcase Type Foundry,en,f,312003,
FF More,FontFont,en,f,311564,
Terfens,Insigne Design,en,f,311325,
Warnock,Adobe,en,f,311241,
Grueber,Dalton Maag,en,f,309874,
Co,Dalton Maag,en,f,309576,
LTC Globe Gothic,Lanston Type,en,f,308256,
Pill Gothic,Betatype,en,f,307955,
Niveau Grotesk,HVD Fonts,en,f,307662,
Grueber,Dalton Maag,en,f,307651,
Divulge,Typodermic,en,f,307243,
Tachyon,Fonthead,en,f,306842,
Egizio URW,URW++,en,f,306315,
Diavlo,exljbris Font Foundry,en,f,305687,
Pirulen,Typodermic,en,f,305665,
Diavlo,exljbris Font Foundry,en,f,305532,
Crete,TypeTogether,en,f,305437,
Divulge,Typodermic,en,f,305045,
Good Times,Larabie Fonts,en,f,304940,
FF More,FontFont,en,f,304235,
P22 Franklin Caslon,P22,en,f,304026,
Minion,Adobe,en,f,303854,
Depot New,Moretype,en,f,303710,
Proxima Nova,Mark Simonson Studio,en,f,303575,
Parisine Plus,Typofonderie,en,f,303033,
Tablet Gothic,TypeTogether,en,f,302221,
Luxi Serif,Bigelow & Holmes,en,f,298067,
Le Monde Courrier,Typofonderie,en,f,297625,
Fanwood,The League of Moveable Type,en,f,297208,
Ethnocentric,Larabie Fonts,en,f,296911,
Burnaby,Typodermic,en,f,296793,
Acuta,Anatoletype,en,f,296734,
Swister,Chank Co,en,f,296541,
Chinchilla,Fonthead,en,f,295948,
Ministry,Device Fonts,en,f,295834,
Kepler,Adobe,en,f,295211,
Mentone,Paragraph,en,f,294281,
Botanika,Suitcase Type Foundry,en,f,293904,
Arno,Adobe,en,f,293157,
FF Duper,FontFont,en,f,293047,
Benton Sans,Font Bureau,en,f,292583,
Iskra,TypeTogether,en,f,292273,
Mic 32 New,Moretype,en,f,291497,
Proxima Nova,Mark Simonson Studio,en,f,291268,
P22 Underground,P22,en,f,290804,
Acuta,Anatoletype,en,f,290200,
Skolar,Rosetta Type Foundry,en,f,288376,
FF Amman Sans,FontFont,en,f,286805,
Good Times,Larabie Fonts,en,f,285767,
Parisine Plus,Typofonderie,en,f,285389,
Continuo,Delve Fonts,en,f,284940,
Terfens,Insigne Design,en,f,283037,
Harfang,PSY/OPS,en,f,282488,
English Grotesque,Device Fonts,en,f,281762,
Egizio URW,URW++,en,f,280438,
Dienstag,Insigne Design,en,f,279967,
Stevie Sans,Typefolio,en,f,279801,
Ambroise,Typofonderie,en,f,279558,
Proxima Nova,Mark Simonson Studio,en,f,279509,
Aviano Sans,Insigne Design,en,f,279046,
Tenso,exljbris Font Foundry,en,f,279007,
Silkscreen,Jason Kottke,en,f,278853,
BadDog,Fonthead,en,f,278690,
Chaloops,Chank Co,en,f,278175,
Serenity,Device Fonts,en,f,278022,
Adrianna,Chank Co,en,f,277494,
Ronnia,TypeTogether,en,f,277485,
Legitima,C̩sar Puertas,en,f,276194,
Terfens,Insigne Design,en,f,275401,
Egizio URW,URW++,en,f,275158,
Adrianna,Chank Co,en,f,274130,
Parisine Plus,Typofonderie,en,f,272363,
Parisine Plus,Typofonderie,en,f,272167,
Luxi Serif,Bigelow & Holmes,en,f,270188,
Click Clack,Fonthead,en,f,270172,
Roboto,Google,en,f,270044,
FF Amman Sans,FontFont,en,f,269833,
Luxi Serif,Bigelow & Holmes,en,f,269665,
Chaparral,Adobe,en,f,268264,
Minion,Adobe,en,f,267547,
Depot New,Moretype,en,f,267198,
FF Amman Serif,FontFont,en,f,266780,
FF Amman Serif,FontFont,en,f,266467,
Abril Titling,TypeTogether,en,f,265770,
Plume,Dalton Maag,en,f,265657,
Blambot FX,Blambot,en,f,265498,
Le Monde Livre Classic,Typofonderie,en,f,265386,
Botanika,Suitcase Type Foundry,en,f,264527,
Terfens,Insigne Design,en,f,264226,
Imperial URW,URW++,en,f,264162,
Plume,Dalton Maag,en,f,263915,
JAF Lapture,Just Another Foundry,en,f,263823,
BigSmalls,Chank Co,en,f,262325,
Good Times,Larabie Fonts,en,f,262260,
Colt,Fort Foundry,en,f,262011,
Imperial URW,URW++,en,f,261665,
FF More,FontFont,en,f,261302,
Egizio URW,URW++,en,f,260315,
Harfang,PSY/OPS,en,f,259610,
Bickham Script,Adobe,en,f,258993,
Dienstag,Insigne Design,en,f,258916,
FF Avance,FontFont,en,f,258817,
Blambot,Blambot,en,f,258089,
Magpie,Dalton Maag,en,f,256988,
P22 Underground,P22,en,f,256364,
Azote,Thomas Jockin,en,f,256139,
Source Code Pro,Adobe,en,f,255831,
Luxi Serif,Bigelow & Holmes,en,f,255505,
Hedley New,Moretype,en,f,255231,
Adrianna,Chank Co,en,f,254481,
Archetype,T-26,en,f,254295,
GoodKitty,Fonthead,en,f,254088,
Terfens,Insigne Design,en,f,253239,
Cubano,Chandler Van De Water,en,f,253052,
Ethnocentric,Larabie Fonts,en,f,252811,
Blakely,Mark Simonson Studio,en,f,252789,
Kepler,Adobe,en,f,252418,
Kepler,Adobe,en,f,252310,
FF Meta,FontFont,en,f,251957,
Antique Olive,URW++,en,f,251111,
Blambot FX,Blambot,en,f,250855,
Abril Titling,TypeTogether,en,f,250177,
Magpie,Dalton Maag,en,f,249624,
Tablet Gothic,TypeTogether,en,f,248953,
Magpie,Dalton Maag,en,f,248516,
Minion,Adobe,en,f,248461,
Minion,Adobe,en,f,247610,
Magpie,Dalton Maag,en,f,247531,
Gnuolane,Typodermic,en,f,246933,
Velino Poster,DSType,en,f,246303,
Mic 32 New,Moretype,en,f,246293,
King's Caslon,Dalton Maag,en,f,246191,
Jeanne Moderno,Steve Mehallo,en,f,245803,
Octin,Typodermic,en,f,245584,
Warnock,Adobe,en,f,245498,
Eskapade,TypeTogether,en,f,245476,
Jeanne Moderno,Steve Mehallo,en,f,244977,
Minion,Adobe,en,f,244674,
Mentone,Paragraph,en,f,244296,
Astoria,Alan Meeks,en,f,244174,
Aviano,Insigne Design,en,f,244094,
Harfang,PSY/OPS,en,f,243475,
Apertura,Betatype,en,f,243373,
Good Times,Larabie Fonts,en,f,242972,
Paralucent,Device Fonts,en,f,242461,
Bouffant,Typodermic,en,f,242392,
Heisei Mincho Std,Adobe,ja,f,242087,
JAF Lapture,Just Another Foundry,en,f,241442,
Balloon URW,URW++,en,f,241400,
Chaparral,Adobe,en,f,240330,
Presicav,Typodermic,en,f,240264,
Minion,Adobe,en,f,239911,
Le Havre,Insigne Design,en,f,238534,
Ethnocentric,Larabie Fonts,en,f,238191,
Astoria,Alan Meeks,en,f,238135,
Botanika,Suitcase Type Foundry,en,f,237043,
Le Havre,Insigne Design,en,f,236913,
Sharik Sans,Dada Studio,en,f,236590,
Ethnocentric,Larabie Fonts,en,f,235973,
Alexander Quill,Canada Type,en,f,235425,
Myriad,Adobe,en,f,235026,
