familyname,foundryname,defaultlanguages,opensource,thirtydaypings,
Pauline,Insigne Design,en,f,2398038,
Anivers,exljbris Font Foundry,en,f,2395884,
Expo Sans,TypeCulture,en,f,2395303,
Prenton,BluHead Studio,en,f,2392880,
Quatro Slab,ps Type,en,f,2388030,
Daniel,Daniel Midgley,en,f,2383211,
Coranto 2,TypeTogether,en,f,2378500,
Clavo,Dada Studio,en,f,2371396,
Freight,Phil's Fonts,en,f,2366561,
Korolev,Device Fonts,en,f,2356757,
Copperplate,URW++,en,f,2338777,
Karmina,TypeTogether,en,f,2326368,
Foco,Dalton Maag,en,f,2323474,
Parisine Plus,Typofonderie,en,f,2323119,
Paralucent,Device Fonts,en,f,2320439,
Macha,Positype,en,f,2319543,
Paralucent,Device Fonts,en,f,2318471,
Parisine Plus,Typofonderie,en,f,2316843,
Metallophile Sp8,Mark Simonson Studio,en,f,2308174,
Garamond Premier,Adobe,en,f,2302631,
CamingoDos,Jan Fromm,en,f,2292958,
Ratio,ps Type,en,f,2291680,
Parisine,Typofonderie,en,f,2291608,
Petersburg,ParaType,en,f,2291066,
Tondo,Dalton Maag,en,f,2284973,
Freight Sans,Phil's Fonts,en,f,2280163,
Cronos,Adobe,en,f,2279773,
Sommet,Insigne Design,en,f,2275226,
Apertura,Betatype,en,f,2265143,
FF Meta,FontFont,en,f,2253364,
Cronos,Adobe,en,f,2247497,
Lust,Positype,en,f,2242235,
Myriad,Adobe,en,f,2242189,
Lexia,Dalton Maag,en,f,2233482,
Paralucent,Device Fonts,en,f,2206566,
Adobe Jenson,Adobe,en,f,2206363,
Stevie Sans,Typefolio,en,f,2194476,
Karmina,TypeTogether,en,f,2190789,
Petersburg,ParaType,en,f,2190621,
Alwyn New,Moretype,en,f,2165642,
Korolev,Device Fonts,en,f,2160176,
Freight Sans,Phil's Fonts,en,f,2158052,
Parisine Plus,Typofonderie,en,f,2150107,
Garamond Premier,Adobe,en,f,2150019,
Depot New,Moretype,en,f,2147118,
AW Conqueror,Typofonderie,en,f,2140235,
DejaRip,Anatoletype,en,f,2139604,
Prenton,BluHead Studio,en,f,2121406,
LFT Etica,TypeTogether,en,f,2119493,
Minerva Modern,T-26,en,f,2104000,
Adobe Jenson,Adobe,en,f,2082446,
Myriad,Adobe,en,f,2074213,
LFT Etica,TypeTogether,en,f,2071865,
Petersburg,ParaType,en,f,2070544,
FF Netto,FontFont,en,f,2065927,
Swingdancer,Chank Co,en,f,2065605,
Cronos,Adobe,en,f,2065052,
Kulturista,Suitcase Type Foundry,en,f,2063077,
Macha,Positype,en,f,2053251,
Korolev,Device Fonts,en,f,2050551,
Pauline,Insigne Design,en,f,2049841,
Parisine,Typofonderie,en,f,2045486,
LFT Etica,TypeTogether,en,f,2039432,
Bookmania,Mark Simonson Studio,en,f,2031948,
Cronos,Adobe,en,f,2031598,
Bree Serif,TypeTogether,en,f,2030280,
Niveau Grotesk,HVD Fonts,en,f,2024838,
Prenton,BluHead Studio,en,f,2016655,
Macha,Positype,en,f,2016175,
Expressway,Typodermic,en,f,2015304,
Garamond Premier,Adobe,en,f,2004905,
Superclarendon,Typodermic,en,f,1997599,
Anivers,exljbris Font Foundry,en,f,1990358,
Nouvelle Vague,Anatoletype,en,f,1975371,
Parisine Plus,Typofonderie,en,f,1966399,
Gesta,Rui Abreu,en,f,1966349,
Presicav,Typodermic,en,f,1963144,
Cronos,Adobe,en,f,1961658,
Parisine Plus,Typofonderie,en,f,1960358,
SchoolBook,ParaType,en,f,1960193,
Parisine Plus,Typofonderie,en,f,1959500,
Hilde Sharp,Chank Co,en,f,1956346,
Soleil,TypeTogether,en,f,1940025,
FF Basic Gothic,FontFont,en,f,1939734,
Pauline,Insigne Design,en,f,1935820,
Factoria,Fort Foundry,en,f,1935544,
FF Basic Gothic,FontFont,en,f,1929562,
Depot New,Moretype,en,f,1929000,
Expressway,Typodermic,en,f,1921732,
Depot New,Moretype,en,f,1918767,
Garamond Premier,Adobe,en,f,1916746,
Copperplate,URW++,en,f,1908111,
Sommet,Insigne Design,en,f,1907316,
Parisine Plus,Typofonderie,en,f,1896907,
Purista,Suitcase Type Foundry,en,f,1896678,
Allumi,Typofonderie,en,f,1895897,
Runda,ps Type,en,f,1895576,
Korolev,Device Fonts,en,f,1890295,
Industry,Fort Foundry,en,f,1888069,
Proxima Nova,Mark Simonson Studio,en,f,1884564,
Blenny,Dalton Maag,en,f,1881630,
FF Meta,FontFont,en,f,1872027,
Chippewa Falls,Chank Co,en,f,1865674,
Allumi,Typofonderie,en,f,1856586,
Pauline,Insigne Design,en,f,1854943,
Chauncy,Chank Co,en,f,1853444,
Eurostile,URW++,en,f,1852739,
Proxima Nova,Mark Simonson Studio,en,f,1846518,
Edo,Vic Fieger,en,f,1846472,
Factoria,Fort Foundry,en,f,1844805,
Serifa,URW++,en,f,1836653,
Prenton,BluHead Studio,en,f,1823309,
Industry Inc,Fort Foundry,en,f,1812596,
Industry,Fort Foundry,en,f,1805483,
Industry,Fort Foundry,en,f,1801871,
Proxima Nova,Mark Simonson Studio,en,f,1797928,
Alwyn New,Moretype,en,f,1795030,
Ratio,ps Type,en,f,1790817,
Sommet,Insigne Design,en,f,1779514,
Proxima Nova,Mark Simonson Studio,en,f,1778087,
Minerva Modern,T-26,en,f,1776465,
Freight,Phil's Fonts,en,f,1775026,
Quatro Slab,ps Type,en,f,1774690,
JAF Bernini,Just Another Foundry,en,f,1771202,
Sofia,Mostardesign,en,f,1760774,
Ronnia,TypeTogether,en,f,1759086,
Cora,TypeTogether,en,f,1756701,
Presicav,Typodermic,en,f,1750940,
Sofia,Mostardesign,en,f,1750754,
Tondo,Dalton Maag,en,f,1748223,
FP Dancer,Fontpartners,en,f,1741395,
Bookmania,Mark Simonson Studio,en,f,1741141,
Garamond Premier,Adobe,en,f,1741113,
Parisine Plus,Typofonderie,en,f,1732441,
LFT Etica,TypeTogether,en,f,1731175,
Chaparral,Adobe,en,f,1728109,
LFT Etica,TypeTogether,en,f,1727619,
Alwyn New,Moretype,en,f,1725648,
Freight Sans,Phil's Fonts,en,f,1724505,
FF Meta,FontFont,en,f,1722980,
Depot New,Moretype,en,f,1716982,
Sophisto,MAC Rhino Fonts,en,f,1713636,
Alwyn New,Moretype,en,f,1706651,
